Link,Image,Name,Release date,Weight,OS,Storage,Screen_size,Screen_resolution,RAM,Battery,net2g,net3g,net4g,net5g,speed,year,status,dimensions,weight,build,sim,displaytype,displaysize,displayresolution,os,chipset,cpu,gpu,memoryslot,internalmemory,memoryother,cam1modules,cam1features,cam1video,cam2modules,cam2video,wlan,bluetooth,gps,nfc,radio,usb,sensors,batdescription1,colors,models,price
https://www.gsmarena.com/vivo_iqoo_z7i-12171.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-z7i.jpg,vivo iQOO Z7i,"Exp. release 2023, March 20","186, 8.2mm thickness","Android 13, Origin OS Ocean","128GB storage, microSDXC","6.51""",720x1600 pixels,4-8 GB RAM,5000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 5, 8, 28, 34, 38, 39, 40, 41","1, 5, 8, 28, 41, 77, 78 SA/NSA","HSPA, LTE-A, 5G","2023, March 13","Coming soon. Exp. release 2023, March 20",164.1 x 75.6 x 8.2 mm (6.46 x 2.98 x 0.32 in),186 (6.56 oz),"Glass front, plastic frame, plastic back","Hybrid Dual SIM (Nano-SIM, dual stand-by)",IPS LCD,"6.51 inches, 102.3 cm(~82.5% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)","Android 13, Origin OS Ocean",Mediatek Dimensity 6020 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",UFS 2.2,"13 MP, f/2.2, (wide), PDAF","LED flash, HDR, panorama",1080p@30fps,"5 MP, f/1.8, (wide)",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS, QZSS",No,No,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable","Black, Blue",V2230EA,About 130 EUR
https://www.gsmarena.com/vivo_v27_pro-12117.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-v27-pro.jpg,vivo V27 Pro,"Released 2023, March 01","182g, 7.4mm thickness","Android 13, Funtouch 13","128GB/256GB storage, no card slot","6.78""",1080x2400 pixels,8/12 GB RAM,4600 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 2100,"1, 3, 4, 5, 8, 28, 38, 40, 41","1, 3, 5, 8, 28, 77, 78 SA/NSA","HSPA, LTE-A, 5G","2023, March 01","Available. Released 2023, March 01",164.1 x 74.8 x 7.4 mm (6.46 x 2.94 x 0.29 in),182 g (6.42 oz),"Glass front, glass back","Dual SIM (Nano-SIM, dual stand-by)",Color changing back panel color,"AMOLED, 1B colors, 120Hz, HDR10+","6.78 inches, 111.0 cm(~90.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)","Android 13, Funtouch 13",Mediatek Dimensity 8200 (4 nm),Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",UFS 3.1,"50 MP, f/1.9, (wide), 1/1.56"", 1.0µm, PDAF, OIS","Ring-LED flash, panorama, HDR","4K@30/60fps, 1080p@30fps, gyro-EIS","50 MP, f/2.5, (wide), AF","Dual-LED flash, HDR","4K@30/60fps, 1080p@30fps, gyro-EIS",24-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GLONASS, GALILEO, BDS, NavIC",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4600 mAh, non-removable","Magic Blue, Noble Black",V2230,1.22 W/kg (head)     0.89 W/kg (body),About 440 EUR,AnTuTu: 846767 (v9),
https://www.gsmarena.com/vivo_v27-12119.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-v27.jpg,vivo V27,"Released 2023, March 01","180g, 7.4mm thickness","Android 13, Funtouch 13","128GB/256GB storage, no card slot","6.78""",1080x2400 pixels,8/12 GB RAM,4600 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - International,"1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 39, 40, 41 - International","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA - International","HSPA, LTE-A, 5G","2023, March 01","Available. Released 2023, March 01",164.1 x 74.8 x 7.4 mm (6.46 x 2.94 x 0.29 in),180 g (6.35 oz),"Glass front, glass back","Dual SIM (Nano-SIM, dual stand-by)",Color changing back panel color,"AMOLED, 1B colors, 120Hz, HDR10+","6.78 inches, 111.0 cm(~90.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)","Android 13, Funtouch 13",Mediatek Dimensity 7200 (4 nm),Octa-core (2x2.8 GHz Cortex-A715 & 6x Cortex-A510),Mali-G610 MC4,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.9, (wide), 1/1.56"", 1.0µm, PDAF, OIS","Ring-LED flash, panorama, HDR","4K@30/60fps, 1080p@30fps, gyro-EIS","50 MP, f/2.5, (wide), AF","Dual-LED flash, HDR","4K@30/60fps, 1080p@30fps, gyro-EIS",24-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS, NavIC","Yes, eSE",No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4600 mAh, non-removable","Magic Blue, Noble Black, Emerald Green, Flowing Gold",About 380 EUR
https://www.gsmarena.com/vivo_v27e-12118.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-s16e.jpg,vivo V27e,"Released 2023, March 01","185g, 7.7mm thickness","Android 13, Funtouch 13","128GB/256GB storage, microSDXC","6.62""",1080x2400 pixels,8/12 GB RAM,4600 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","HSPA, LTE-A","2023, March 01","Available. Released 2023, March 01",162.5 x 75.8 x 7.7 mm (6.40 x 2.98 x 0.30 in),185 g (6.53 oz),"Glass front, plastic frame, plastic back","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and water resistant","AMOLED, 120Hz","6.62 inches, 105.8 cm(~85.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~398 ppi density)","Android 13, Funtouch 13",Mediatek MT8781 Helio G99 (6nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","64 MP, f/1.8, (wide), PDAF, OIS","Ring-LED flash, panorama, HDR","4K@30/60fps, 1080p@30fps, gyro-EIS","32 MP, f/2.5, (wide)",HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.2, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS","Yes, eSE",Unspecified,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4600 mAh, non-removable","Glory Black, Lavender Purple, Lively Green",V2237,About 270 EUR
https://www.gsmarena.com/vivo_y56-12125.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-y56-5g.jpg,vivo Y56,"Released 2023, February 17","184g, 8.2mm thickness","Android 13, Funtouch 13","128GB storage, microSDXC","6.58""",1080x2408 pixels,4/8 GB RAM,5000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 5, 8, 38, 40, 41","1, 3, 8, 28, 77, 78 SA/NSA","HSPA, LTE-A, 5G","2023, February 17","Available. Released 2023, February 17",164.1 x 75.6 x 8.2 mm (6.46 x 2.98 x 0.32 in),184 g (6.49 oz),"Glass front, plastic frame, plastic back","Hybrid Dual SIM (Nano-SIM, dual stand-by)",IPX4 water/ IP5X dust resistant,IPS LCD,"6.58 inches, 104.3 cm(~84.1% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)","Android 13, Funtouch 13",Mediatek MT6833 Dimensity 700 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 8GB RAM","50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF","LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.0, (wide)",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",No,FM radio,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable","Orange Shimmer, Black Engine",V2225,
https://www.gsmarena.com/vivo_y100-12121.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-y100.jpg,vivo Y100,"Released 2023, February 16","181g, 7.7mm thickness","Android 13, Funtouch 13","128GB storage, microSDXC","6.38""",1080x2400 pixels,8 GB RAM,4500 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100,"1, 3, 5, 8, 38, 40, 41","1, 3, 8, 28, 77, 78 SA/NSA","HSPA, LTE-A, 5G","2023, February 16","Available. Released 2023, February 16",158.9 x 73.5 x 7.7 mm (6.26 x 2.89 x 0.30 in),181 g (6.38 oz),"Glass front, glass back","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and water resistant","AMOLED, 90Hz, HDR10+, 1300 nits (peak)","6.38 inches, 98.3 cm(~84.1% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~413 ppi density)","Android 13, Funtouch 13",Mediatek MT6877 Dimensity 900 (6 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,microSDXC (uses shared SIM slot),128GB 8GB RAM,"64 MP, f/1.8, (wide), 0.7µm, PDAF, OIS","LED flash, HDR, panorama","4K@30fps, 1080p@30fps","16 MP, f/2.0, (wide)",1080p@30fps,24-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.2, A2DP, LE","GPS, GLONASS, BDS, GALILEO, QZSS",No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable","Metal Black, Twilight Gold, Pacific Blue",V2239,
https://www.gsmarena.com/vivo_iqoo_neo_7-12084.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-neo7-se.jpg,vivo iQOO Neo 7,"Released 2023, February 16","193g, 8.6mm thickness","Android 13, Funtouch 13","128GB/256GB storage, no card slot","6.78""",1080x2400 pixels,8/12 GB RAM,5000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100 - India,"1, 3, 5, 8, 28, 38, 40, 41 - India","1, 3, 5, 8, 28, 41, 77, 78 SA/NSA - India","HSPA, LTE-A, 5G","2023, February 16","Available. Released 2023, February 16",164.8 x 76.9 x 8.6 mm (6.49 x 3.03 x 0.34 in),193 g (6.81 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)","AMOLED, 120Hz, HDR10+, 500 nits (typ), 1000 nits (HBM), 1300 nits (peak)","6.78 inches, 111.0 cm(~87.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",Always-on display,"Android 13, Funtouch 13",Mediatek Dimensity 8200 (4 nm),Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,No,"128GB 8GB RAM, 256GB 12GB RAM",UFS 3.1,"64 MP, f/1.8, 24mm (wide), 1/1.97"", 0.7µm, PDAF, OIS","LED flash, HDR, panorama","4K@30fps, 1080p@30fps","16 MP, f/2.5, (wide)",HDR,1080p@30fps,24-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.3, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS, NavIC",Yes (market/region dependent),No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable","Interstellar Black, Frost Blue",I2214,
https://www.gsmarena.com/vivo_y55s_(2023)-12089.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-y55-5g.jpg,vivo Y55s (2023),"Released 2023, January 21","187g, 8.3mm thickness","Android 12, Funtouch 12","128GB storage, microSDXC","6.58""",1080x2408 pixels,4/6 GB RAM,5000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 32, 38, 39, 40, 41","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 78 SA/NSA","HSPA, LTE-A, 5G","2023, January 21","Available. Released 2023, January 21",164 x 75.9 x 8.3 mm (6.46 x 2.99 x 0.33 in),187 g (6.60 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",IPS LCD,"6.58 inches, 104.3 cm(~83.8% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~401 ppi density)","Android 12, Funtouch 12",Mediatek MT6833 Dimensity 700 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,"128GB 4GB RAM, 128GB 6GB RAM","50 MP, f/1.8, 26mm (wide), PDAF","Dual-LED flash, HDR, panorama","1080p@30fps, gyro-EIS","8 MP, f/1.8, (wide)",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,FM radio,"USB Type-C, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable","Black, Blue",About 250 EUR
https://www.gsmarena.com/vivo_iqoo_neo7_racing-12050.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-iqoo-neo7.jpg,vivo iQOO Neo7 Racing,"Released 2023, January 05","197g / 202g, 8.5mm thickness","Android 13, Origin OS 3","256GB/512GB storage, no card slot","6.78""",1080x2400 pixels,8-16 GB RAM,5000 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41","1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA","HSPA, LTE-A, 5G","2022, December 29","Available. Released 2023, January 05",164.8 x 76.9 x 8.5 mm or 8.9 mm,197 g / 202 g (6.95 oz),"Dual SIM (Nano-SIM, dual stand-by)","AMOLED, 120Hz, HDR10+, 1500 nits (peak)","6.78 inches, 111.0 cm(~87.6% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)","Android 13, Origin OS 3",Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510),Adreno 730,No,"256GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM",UFS 3.1,"50 MP, f/1.9, 24mm (wide), 1/1.57"", 1.0µm, PDAF, OIS","LED flash, HDR, panorama","4K@30fps, 1080p@30fps","16 MP, f/2.5, (wide), 1/3.1"", 1.0µm",HDR,1080p@30fps,24-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD, aptX Adaptive","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable","Orange, Black, Blue",V2232A,About 380 EUR
https://www.gsmarena.com/vivo_s16_pro-12037.php,https://fdn2.gsmarena.com/vv/bigpic/vivo-s16-pro.jpg,vivo S16 Pro,"Released 2022, December 30","182g, 7.4mm thickness","Android 13, Origin OS 3","256GB/512GB storage, no card slot","6.78""",1080x2400 pixels,8/12 GB RAM,4600 mAh Li-Po,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 28, 34, 38, 39, 40, 41","1, 3, 5, 8, 28, 41, 77, 78 SA/NSA","HSPA, LTE-A, 5G","2022, December 22","Available. Released 2022, December 30",164.1 x 74.8 x 7.4 mm (6.46 x 2.94 x 0.29 in),182 g (6.42 oz),"Dual SIM (Nano-SIM, dual stand-by)","AMOLED, 120Hz, HDR10+","6.78 inches, 111.0 cm(~90.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)","Android 13, Origin OS 3",Mediatek Dimensity 8200 (4 nm),Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",UFS 3.1,"50 MP, f/1.9, (wide), 1/1.56"", 1.0µm, PDAF, OIS","Ring-LED flash, panorama, HDR","4K@30fps, 1080p@30fps","50 MP, f/2.5, (wide), AF","Dual-LED flash, HDR",1080p@30fps,24-bit/192kHz audio,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS, NavIC",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Li-Po 4600 mAh, non-removable","Black, Mint",V2245A,About 400 EUR
